Instance: uvm_test_top.ahbfab_env_i.mvc_ahb_mst_5_env_i.logger_handle_ahb
AHB Clk Cycle = 5026 ps; AHB Clk Frequency = 198.97 MHz; Data bus width = 32 bits
------------------------------------------------------------------------------------------------------------------------------------------
|NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
|                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
|                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
|                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
|                       |                       |          |          |       |    |          |        |      |         | T |            |
|                       |                       |          |          |       |    |          |        |      |         |   |            |
------------------------------------------------------------------------------------------------------------------------------------------
|             6932312 ps|             6937362 ps|WR-DATA   | 3FF17440 |  1/ 1 | -- | 63022661 |  OKAY  | ---- | ------- | - | ---------- |
|             6937362 ps|             6942388 ps|WR-NONSEQ | 3FF17460 | ----- |  1 | -------- |  ----  |SINGLE|    4    | A |           0|
|             6937362 ps|             6942388 ps|WR-DATA   | 3FF17450 |  1/ 1 | -- | 59DA209C |  OKAY  | ---- | ------- | - | ---------- |
|             6942388 ps|             6947288 ps|WR-NONSEQ | 3FF17470 | ----- |  1 | -------- |  ----  |SINGLE|    4    | B |           0|
|             6942388 ps|             6947288 ps|WR-DATA   | 3FF17460 |  1/ 1 | -- | 3C90F3A0 |  OKAY  | ---- | ------- | - | ---------- |
|             6947288 ps|             6952264 ps|WR-NONSEQ | 3FF17480 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 8 |           0|
|             6947288 ps|             6952264 ps|WR-DATA   | 3FF17470 |  1/ 1 | -- | 3DDD2DE6 |  OKAY  | ---- | ------- | - | ---------- |
|             6952264 ps|             6957264 ps|WR-NONSEQ | 3FF17490 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
|             6952264 ps|             6957264 ps|WR-DATA   | 3FF17480 |  1/ 1 | -- | BD3F7938 |  OKAY  | ---- | ------- | - | ---------- |
|             6957264 ps|             6962264 ps|WR-NONSEQ | 3FF174A0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 6 |           0|
|             6957264 ps|             6962264 ps|WR-DATA   | 3FF17490 |  1/ 1 | -- | 45B22640 |  OKAY  | ---- | ------- | - | ---------- |
|             6962264 ps|             6967290 ps|WR-NONSEQ | 3FF174B0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 8 |           0|
|             6962264 ps|             6967290 ps|WR-DATA   | 3FF174A0 |  1/ 1 | -- | 136148AD |  OKAY  | ---- | ------- | - | ---------- |
|             6967290 ps|             6972290 ps|WR-NONSEQ | 3FF174C0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
