   Trace   : /mnt/ussjf-asic2/workarea1/lkamired/niue1z1_tmp/lkamired/wa_performance/SIM/top/ahbfab_cov.m33i_ram0/uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i_ahb_beat.log

   Picked  : Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i.logger_handle_ahb :: Header
             Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i.logger_handle_ahb
   Picked  : AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
             AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
   Skipped : |NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
   Skipped : |                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
   Skipped : |                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
   Skipped : |                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
   Skipped : |                       |                       |          |          |       |    |          |        |      |         | T |            |
   Skipped : |                       |                       |          |          |       |    |          |        |      |         |   |            |
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
             |              299091 ns|              299341 ns|WR-DATA   | F8312060 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              299396 ns|              299401 ns|WR-NONSEQ | 48250020 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              299396 ns|              299401 ns|WR-NONSEQ | 48250020 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              299401 ns|              300351 ns|WR-DATA   | 48250020 |  1/ 1 | -- | 00000001 |  OKAY  | ---- | ------- | - | ---------- |
             |              299401 ns|              300351 ns|WR-DATA   | 48250020 |  1/ 1 | -- | 00000001 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              300401 ns|              300406 ns|RD-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              300401 ns|              300406 ns|RD-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              300406 ns|              301271 ns|RD-DATA   | 4826017C |  1/ 1 | -- | 20801E01 |  OKAY  | ---- | ------- | - | ---------- |
             |              300406 ns|              301271 ns|RD-DATA   | 4826017C |  1/ 1 | -- | 20801E01 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              301326 ns|              301331 ns|WR-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              301326 ns|              301331 ns|WR-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              301331 ns|              302231 ns|WR-DATA   | 4826017C |  1/ 1 | -- | 20801E41 |  OKAY  | ---- | ------- | - | ---------- |
             |              301331 ns|              302231 ns|WR-DATA   | 4826017C |  1/ 1 | -- | 20801E41 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              302681 ns|              302686 ns|RD-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              302681 ns|              302686 ns|RD-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              302686 ns|              303551 ns|RD-DATA   | 4826017C |  1/ 1 | -- | 20801E41 |  OKAY  | ---- | ------- | - | ---------- |
             |              302686 ns|              303551 ns|RD-DATA   | 4826017C |  1/ 1 | -- | 20801E41 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              303606 ns|              303611 ns|WR-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              303606 ns|              303611 ns|WR-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              303611 ns|              304511 ns|WR-DATA   | 4826017C |  1/ 1 | -- | 20801E40 |  OKAY  | ---- | ------- | - | ---------- |
             |              303611 ns|              304511 ns|WR-DATA   | 4826017C |  1/ 1 | -- | 20801E40 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              304761 ns|              304766 ns|RD-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              304761 ns|              304766 ns|RD-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              304766 ns|              305631 ns|RD-DATA   | 4826017C |  1/ 1 | -- | 20801E40 |  OKAY  | ---- | ------- | - | ---------- |
             |              304766 ns|              305631 ns|RD-DATA   | 4826017C |  1/ 1 | -- | 20801E40 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              305686 ns|              305691 ns|WR-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              305686 ns|              305691 ns|WR-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              305691 ns|              306631 ns|WR-DATA   | 4826017C |  1/ 1 | -- | 20801E40 |  OKAY  | ---- | ------- | - | ---------- |
             |              305691 ns|              306631 ns|WR-DATA   | 4826017C |  1/ 1 | -- | 20801E40 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              307186 ns|              307191 ns|WR-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              307186 ns|              307191 ns|WR-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              307191 ns|              308111 ns|WR-DATA   | 4826017C |  1/ 1 | -- | 20801E40 |  OKAY  | ---- | ------- | - | ---------- |
             |              307191 ns|              308111 ns|WR-DATA   | 4826017C |  1/ 1 | -- | 20801E40 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              308166 ns|              308171 ns|WR-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              308166 ns|              308171 ns|WR-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              308171 ns|              309111 ns|WR-DATA   | 4826017C |  1/ 1 | -- | 84002E40 |  OKAY  | ---- | ------- | - | ---------- |
             |              308171 ns|              309111 ns|WR-DATA   | 4826017C |  1/ 1 | -- | 84002E40 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              309166 ns|              309171 ns|WR-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
